Date	Workout	HeroWod
20020131	"row 2000 meters rest for 2000 meter time. row 1000 meters rest for 1000 meter  time. row 500 meters orrun 800 meters rest for 800 meters time. run 400 meters. rest for 400 meters time. run 200 meters. __________________ ""why is it that a guy with a 95 pound deadlift and 6 pull-ups  is the first to worry about developing his grip?"" - coach greg glassman paleo diet recipes: http://www.panix.com/~paleodiet/list/ cool!"	false
20020131	"for time: 50 push-ups 50 pull-ups 75 sit-ups 75 kettlebell swings, 1 ""pood"" kettlebell (16kg) 150 air squatsperform in any order. the idea is to perform each in as  few sets as possible. all of the reps from each exercise do not have  to be completed before starting some from another exercise.  keep track of the reps and tally the total sets to completion.  note time to completion. final score is total number of sets  multiplied by time in minutes to completion.notes:  1. one possible approach is to perform a near max set of push-ups,  go on to the pull-ups, do the same with the sit-ups, etc. after the squats,  go back to the push-ups and run through the list again finishing as much  as you can at each exercise.  2. seven sets total in ten minutes for a ""70"" is an excellent score! ____________________""great works are performed not by strength but by perseverance."" - samuel johnson we've been here before, but this site is so rich with worthwhile  diet information that we've got to come back:  http://www.panix.com/~paleodiet/"	false
20020130	"row 2000 meters rest for 2000 meter time. row 1000 meters rest for 1000 meter  time. row 500 meters orrun 800 meters rest for 800 meters time. run 400 meters. rest for 400 meters time. run 200 meters. __________________ ""why is it that a guy with a 95 pound deadlift and 6 pull-ups  is the first to worry about developing his grip?"" - coach greg glassman paleo diet recipes: http://www.panix.com/~paleodiet/list/ cool!"	false
20020129	"complete as many rounds in 20 minutes as you can of: deadlift 5rm 2 rope climb  ________________ ""when i try to hit home runs, my swing goes to pot."" - dean palmer  mike has turned his garage into a world class strength  and conditioning facility: http://www.mikesgym.org/"	false
20020128	"bike ten minutes, hard. rest five minutes. from a standing start, with a dumbbell, perform a turkish get-up.  on returning to the stand, perform five one -armed, overhead squats,  switch arms and repeat with the other arm. this is one set. repeat with heavier dumbbell.  perform seven sets in this manner.  bike ten minutes, hard.  _________________ ""there's no such thing as coulda, shoulda, and woulda.  if you shoulda and coulda, you woulda done it."" - pat riley read about istan balyi's long term athletic development model  and the ten year ten thousand hour rule to elite athleticism.  http://www.coach.ca/a-test/v8n1_e.pdf"	false
20020127	rest day	false
20020126	rest day	false
20020125	"five rounds for time of: 15 back/hip extension 15 sit ups 10 pull ups 10 dips 1 mile bike ___________________ ""world records are only borrowed."" - sebastian coe checkout the layout of the new crossfit facility:  http://www.ihpra.org/imagesa/gymn.jpg"	false
20020124	"three rounds of: jump rope ""double-unders""; 2 minutes rest 30 seconds. powerclean bodyweight, max reps, no rest. rest 5 minutes.notes: 1. if you can't double under then jump hard, high, and fast. 2. if you can't powerclean your bodyweight then use less weight (duhhhh..) 3. no rest on the powercleans implies that you don't put the weight down,  though you may pause at hang or rack. ___________________ ""there are no winners, only survivors."" - frank gifford high intensity weight training more ""aerobic"" than aerobics?  http://www.mikementzer.com/aerobic.html  this is far from a technical article; it's written by and for bodybuilders"	false
20020123	"row 1 minute at sub 1:30/500 meter pace,  row 1 minute at 2:00/500 meter pace alternating for ten minutes. rest as needed. 45 pound push press, 30 seconds, max reps. rest 2 minutes. 45 pound push press 60 seconds, match 30 second effort's rep count. rest 2 minutes. 45 pound push press 90 seconds, again match 30 second effor'ts rep count. rest 2 minutes. 45 pound push press120 seconds, again match 30 second effort's reps count.  rest as needed. row 1 minute at sub 1:30/500 meter pace,  row 1 minute at 2:00/500 meter pace alternating for ten minutes. ___________________ ""you can learn little from victory. you can learn everything from defeat."" - christy mathewson"	false
20020122	"20 back squat rest 5 minutes run 800 meters rest 5 minutes tabata squat (20 seconds on/10 seconds off x 8) rest 5 minutes run 800 meters rest 5 minutes 20 overhead squat ____________________ show me a guy who's afraid to look bad, and i'll show you a  guy you can beat every time."" - lou brock an apple a day will keep the doctor away! from cornell university:  http://www.news.cornell.edu/releases/june00/anticancerapple.bpf.html"	false
20020121	"24 inch box jump, 25 reps 25 pull-ups rest 22 inch box jump, 25 reps 20 pull-ups rest 20 inch box jump, 25 reps 15 pull-ups restrepeat each of the three couplets.notes:  1. complete the pull-ups in as few sets as possible. 2. compare the time for the first three couplets to the second three _____________________ ""people who enjoy what they are doing invariably do it well."" - joe gibbs the venerable dr. hatfield here describes his training regimen for  evander holyfield. the great advantage that dr. hatfield brought to  evander's game is the realization that boxing is anaerobic not aerobic  sport. the periodizaton scheme was of minor import.  http://www.sportsci.org/news/news9709/hatfield.html  sadly, what dr. hatfield artculates in the first three paragraphs of this  article is critical yet not understood by nearly all in the mixed martial  arts community."	false
20020120	rest day	false
20020119	rest day	false
20020118	complets as many rounds in 20 minutes as you can of: powerclean/push-press 5rm load ___________________ âbasketball, volleyball, wrestling, boxing, and football are each by  large preponderance anaerobic not aerobic sports. knowing and  understanding this distinction is the first step to responsible,  effective coaching.â  - coach glassman	false
20020117	complete as many rounds in 20 minutes as you can of: 400 meter run 10 pull ups ___________________ âfew understand the overwhelming importance of anaerobic exercise to general fitness.â  - coach glassman	false
20020116	complete as many rounds in 20 minutes as you can of: tabata squats 50 sit ups ____________________ âtraining for a fight by running twenty minutes everyday makes  perfect sense if you plan on running away from your opponent  and know youâll be getting a ten minute headstart â  - coach glassman	false
20020115	complete as many rounds in 20 minutes as you can of: 7 bench press; body weight 1 rope climb ____________________ âthe cost of regular extended aerobic training is decreased  speed, power, and strength.â  - coach glassman	false
20020114	complete as many rounds in 20 minutes as you can of: 15 power cleans; 20 rm load 400 meter run ___________________ âan athlete diminished by excessive aerobic training is slow and weak.  at crossfit we call that state, âspun-down.â  - coach glassman	false
20020113	rest day	false
20020112	rest day	false
20020111	"three rounds for time of: 45 pound front squat, 50 reps 20 pull ups 20 dipsnotes: 1. rest only where continuing is physically impossible. 2. if you can't complete the pull-ups or dips in one set break it into  several with minimal rest.  3. squat to a 10"" box or platform.  ___________________ ""forget about style; worry about results."" - bobby orr"	false
20020110	"complete as many rounds in 20 minutes as you can of: 24 inch box jump, 15 reps 20 sit upsnotes:  1. give yourself one point for each round. 2. add two points if you puke.  ___________________ ""it's unbelievable how much you don't know about the game  you've been playing all your life."" - mickey mantle"	false
20020109	"1000 meter row snatch 10-10-10-10-10 reps 1000 meter row ___________________""it's great to win, but it's also great fun to be in the thick of any  truly well and hard-fought contest against opponents you respect,  whatever the outcome."" - jack nicklaus world class coaching has produced two outstanding videos on  olympic weightlifting. here is their site:  http://www.worldclasscoachingllc.com/side.html"	false
20020108	"have a partner gently assist you through twenty consecutive muscle-ups. switch. repeat.notes: 1. the most effective spotting/assisting technique is to lift from the  bottom of the feet or about the ribs. 2. this is really tough. potentially for both. ___________________ ""luck is what happens when preparation meets opportunity."" - darrell royal"	false
20020107	"deadlift 5-3-1-3-5 reps run 1 mile deadlift 5-3-1-3-5 repsnotes: 1. pick challenging loads for each of the first five deadlift sets. 2. rest as needed before and after the run.  3. run the mile for time, i.e., hard and fast. 4. try to duplicate the loads for the second five sets of deadlift. ___________________ ""i'm proof that great things can happen to ordinary people if they work hard and never give up."" - orel hershiser"	false
20020106	rest day	false
20020105	rest day	false
20020104	"complete 3-5 rounds of: 800 meter run 15 powercleans rest ___________________ ""concentration is why some athletes are better than others...... you develop that concentration in training. you can't be  lackadaisical in training and concentrate in a meet."" - edwin mosesinterestingly, it may be that black dominancy in long distance  running may be due to a greater reliance on high intensity training.  surprise, surprise! http://www.pponline.co.uk/encyc/0416.htm"	false
20020228	"move through this circuit slowly, but steadily, for as long as you can: 1 rope climb 4 ring dips 10 back extensions 10 sit-upsnotes: 1. anyone good for a full hour of movement? _____________________ ""we all choke. you're not human if you haven't."" - curtis strange cholesterol researcher  uffe ravnskov's ""cholesterol myth # 4: http://www.ravnskov.nu/myth4.htm"	false
20020227	"for time: 1 mile bike 75 pound thrusters, 20 reps 1 mile bike 75 pound thrusters, 20 repsrest fifteen minutes.for time: 500 meter row 75 pound powerclean, 20 reps 500 meter row 75 pound powerclean, 20 repsnotes: 1. we call this ""back to back fights."" sub 7 minutes for each  is a good time; sub 6 is amazing ______________________ ""most games are lost, not one."" - casey stengel dr. ravnskov's cholesterol myth #3: http://www.ravnskov.nu/myth3.htm"	false
20020226	rest day	false
20020225	"seven rounds of: 3 deadlift 3 bench press ____________________ ""concentration, confidence, competitive urge, capacity for enjoyment."" - arnold palmer's ""4 c's of playing a better golf game"" this is the second of dr. ravnskov's ""cholesterol myths"":  http://www.ravnskov.nu/myth2.htm"	false
20020224	"three to five rounds of:  65 pound powerclean, 20 reps  400 meter run 65 pound powerclean, 20 reps  rest.notes: 1.""sandbag"" the first and try to improve the time  on each of two to four subsequent rounds. not easy. 2. ladies, children, and neophytes: 65 pounds is a fit-man's load for this workout. reduce the weight  if all twenty reps cannot be performed rapidly,  consistently, and with fluidity.  ___________________ ""any time you try to win everything, you must be willing to lose everything."" - larry csonkacheck out ""torson"" from the official salt lake city 2002 website.  spend time in the hip - front and back - deep and superficially.  understanding the hip is the starting point for understanding all of human kinetics. http://www.saltlake2002.com/x/f/frame.htm?u=/x/m/int/torson/torsoncomplete/torsonmainnav.html"	false
20020223	"can you perform this sequence every minute on the minute for thirty minutes?straight arm, straight body, straight leg pull to inverted hang on pull-up bar. lower to normal hang and perform 1 pull-up. lower to hang and pull knees to elbows. drop and perform 7 squats. drop to floor and perform three push-ups.notes:1. count total circuits completed within thirty minutes.  2. straight-straight-straight pull to inverted hang is tough curl up enough  to more readily pull to inverted hang then extend the body and lower back  to normal hang ""straightened out."" 3. incidentally, this is a whole body workout of immense practicality. ___________________ ""you have no control over what the other guy does.  you only have control over what you do."" - aj kitt let's look at dr. ravnskov's ""cholesterol myths"" one myth at a time. today, myth #1: http://www.ravnskov.nu/myth1.htm dr. ravnskov is a world renowned authority on  the causes of coronary heart disease. many, if not most, athletes aren't currently  concerned about coronary heart disease, but the best time to give thought to the  matter is long before becoming symptomatic"	false
20020222	rest day	false
20020221	"deadlift 1-1-1-1-1-1-1-1-1-1, repnotes: 1. start light - go heavy. 2. rest as needed between sets. 3. stretch and stay warm between sets. __________________ ""athletics should reduce stress, not increase it."" - mark allendr. calvin's ""theory of throwing and human evolution"":  http://www.williamcalvin.com/throwing.html"	false
